time_seconds,top,bottom,left,right,total,time_step
0,1,1,4,10,16,0
10,0,0,4,10,14,1
20,0,1,5,9,15,2
30,0,1,1,8,10,3
40,7,7,0,2,16,4
50,16,9,0,1,26,5
60,15,12,0,2,29,6
70,15,4,0,1,20,7
80,9,2,0,0,11,8
90,3,6,1,0,10,9
100,4,5,1,2,12,10
110,9,2,3,0,14,11
120,1,0,5,5,11,12
130,1,1,13,9,24,13
140,0,1,12,7,20,14
150,0,1,16,8,25,15
160,0,0,12,11,23,16
170,0,0,1,12,13,17
180,0,0,1,14,15,18
190,0,0,1,15,16,19
200,0,0,6,8,14,20
210,0,0,5,7,12,21
220,0,2,2,7,11,22
230,6,6,0,0,12,23
240,12,13,0,0,25,24
250,14,7,0,2,23,25
260,14,6,1,0,21,26
270,13,1,0,1,15,27
280,4,4,0,1,9,28
290,7,7,1,1,16,29
300,6,4,3,0,13,30
310,2,0,7,4,13,31
320,0,0,15,11,26,32
330,0,1,13,7,21,33
340,0,2,15,10,27,34
350,0,0,10,7,17,35
360,0,1,1,8,10,36
370,1,0,0,11,12,37
380,0,0,1,9,10,38
390,0,1,5,11,17,39
400,0,0,1,11,12,40
410,0,0,0,11,11,41
420,3,3,1,4,11,42
430,17,11,1,2,31,43
440,14,5,0,1,20,44
450,12,1,0,2,15,45
460,11,2,0,3,16,46
470,2,3,0,1,6,47
480,3,7,0,0,10,48
490,5,7,0,0,12,49
500,3,3,0,1,7,50
510,1,1,9,11,22,51
520,0,0,5,9,14,52
530,0,0,3,10,13,53
540,0,0,10,13,23,54
550,0,0,5,11,16,55
560,0,0,4,12,16,56
570,0,0,0,12,12,57
580,0,0,1,6,7,58
590,0,0,1,8,9,59
600,0,0,1,0,1,60
610,0,0,0,1,1,61
620,13,12,0,1,26,62
630,10,8,0,1,19,63
640,12,3,0,0,15,64
650,10,1,0,2,13,65
660,3,1,0,0,4,66
670,4,5,0,0,9,67
680,5,6,0,1,12,68
690,3,1,0,0,4,69
700,0,1,1,5,7,70
710,0,0,4,7,11,71
720,0,0,3,8,11,72
730,0,1,4,10,15,73
740,0,0,4,8,12,74
750,0,0,4,4,8,75
760,0,1,1,15,17,76
770,0,0,3,11,14,77
780,0,1,3,7,11,78
790,1,0,2,6,9,79
800,0,0,0,4,4,80
810,12,8,0,0,20,81
820,12,8,0,0,20,82
830,0,1,0,0,1,83
