second,top,bottom,left,right,total
0,0,1,1,1,3
1,0,0,0,2,2
2,0,0,0,0,0
3,0,0,0,2,2
4,0,0,1,0,1
5,0,0,0,1,1
6,0,0,0,1,1
7,0,0,2,1,3
8,1,0,0,1,2
9,0,0,0,1,1
10,0,0,0,1,1
11,0,0,1,1,2
12,0,0,0,1,1
13,0,0,1,1,2
14,0,0,0,1,1
15,0,0,1,0,1
16,0,0,0,2,2
17,0,0,0,0,0
18,0,0,1,2,3
19,0,0,0,1,1
20,0,0,1,1,2
21,0,0,1,1,2
22,0,0,0,2,2
23,0,0,2,0,2
24,0,0,0,1,1
25,0,0,0,1,1
26,0,0,0,1,1
27,0,1,1,1,3
28,0,0,0,1,1
29,0,0,0,0,0
30,0,1,0,2,3
31,0,0,0,1,1
32,0,0,0,1,1
33,0,0,1,0,1
34,0,0,0,0,0
35,0,0,0,3,3
36,0,0,0,0,0
37,0,0,0,1,1
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,1,1
42,0,0,0,0,0
43,0,0,0,0,0
44,1,1,0,0,2
45,2,2,0,0,4
46,0,0,0,1,1
47,3,2,0,0,5
48,1,1,0,0,2
49,0,1,0,0,1
50,3,2,0,0,5
51,1,0,0,0,1
52,0,1,0,0,1
53,4,1,0,0,5
54,0,2,0,0,2
55,4,0,0,0,4
56,0,1,0,0,1
57,0,1,0,1,2
58,2,0,0,0,2
59,2,1,0,0,3
60,1,1,0,1,3
61,2,1,0,0,3
62,1,1,0,0,2
63,2,2,0,0,4
64,2,2,0,0,4
65,3,0,0,0,3
66,1,2,0,1,4
67,0,1,0,0,1
68,3,1,0,0,4
69,0,1,0,0,1
70,3,2,0,1,6
71,1,0,0,0,1
72,2,0,0,0,2
73,1,0,0,0,1
74,1,1,0,0,2
75,0,0,0,0,0
76,3,0,0,0,3
77,0,1,0,0,1
78,2,0,0,0,2
79,2,0,0,0,2
80,0,0,0,0,0
81,2,0,0,0,2
82,3,2,0,0,5
83,1,0,0,0,1
84,1,0,0,0,1
85,0,0,0,0,0
86,2,0,0,0,2
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,1,0,0,1
91,0,1,0,0,1
92,0,0,0,0,0
93,0,0,0,0,0
94,1,1,1,0,3
95,0,1,0,0,1
96,0,0,0,0,0
97,0,0,0,0,0
98,2,2,0,0,4
99,0,0,0,0,0
100,0,0,0,0,0
101,1,0,0,0,1
102,0,2,0,0,2
103,1,0,0,0,1
104,0,1,0,0,1
105,1,1,0,1,3
106,0,0,0,0,0
107,1,1,0,0,2
108,0,0,0,0,0
109,0,0,1,1,2
110,2,1,0,0,3
111,1,0,0,0,1
112,2,0,0,0,2
113,1,0,1,0,2
114,0,1,0,0,1
115,1,0,0,0,1
116,0,0,1,0,1
117,2,0,0,0,2
118,0,0,1,0,1
119,0,0,0,0,0
120,1,0,1,0,2
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,1,1
127,0,0,1,1,2
128,0,0,2,2,4
129,0,0,1,1,2
130,0,0,3,1,4
131,1,0,0,1,2
132,0,0,1,0,1
133,0,0,1,2,3
134,0,0,1,0,1
135,0,0,2,1,3
136,0,0,1,1,2
137,0,0,1,0,1
138,0,1,1,2,4
139,0,0,2,1,3
140,0,0,0,1,1
141,0,1,1,0,2
142,0,0,2,0,2
143,0,0,0,2,2
144,0,0,3,0,3
145,0,0,1,1,2
146,0,0,2,0,2
147,0,0,0,3,3
148,0,0,3,0,3
149,0,0,0,0,0
150,0,0,2,0,2
151,0,0,1,1,2
152,0,0,3,0,3
153,0,0,1,2,3
154,0,0,1,0,1
155,0,0,2,3,5
156,0,0,1,0,1
157,0,0,2,1,3
158,0,1,1,0,2
159,0,0,2,1,3
160,0,0,0,1,1
161,0,0,3,1,4
162,0,0,1,1,2
163,0,0,1,2,3
164,0,0,1,1,2
165,0,0,2,1,3
166,0,0,1,1,2
167,0,0,2,0,2
168,0,0,0,1,1
169,0,0,1,2,3
170,0,0,1,0,1
171,0,0,0,3,3
172,0,0,0,0,0
173,0,0,0,2,2
174,0,0,0,1,1
175,0,0,0,2,2
176,0,0,0,1,1
177,0,0,0,1,1
