Target,Model,MAE,RMSE
bottom,LSTM,2.0762227984035717,2.5354299389088326
bottom,ARIMA,1.735949196789943,2.5966927127897215
bottom,Prophet,2.2093572159117754,2.786544991127999
bottom,Baseline,1.8823529411764706,3.086974532565159
left,ARIMA,1.0803797688354255,1.3150297702302987
left,Baseline,0.8235294117647058,1.3284223283101428
left,Prophet,1.5500753951680064,1.6809501305334824
left,LSTM,1.5916178577086504,1.7084817984778802
right,LSTM,2.538476824760437,3.2532628541607154
right,ARIMA,2.549665845077961,3.632004988449013
right,Baseline,2.588235294117647,3.6782348707914077
right,Prophet,3.706488365698062,4.415794354797868
top,ARIMA,2.099977273889637,4.117222003350925
top,LSTM,3.075141794541303,4.120863989454801
top,Prophet,3.641117497355147,4.18526553184144
top,Baseline,1.9411764705882353,4.235702594681104
total,Prophet,4.245334566431476,5.3373580940829
total,ARIMA,4.2922707127220745,5.971254085348937
total,LSTM,5.453445715062759,6.644224419077054
total,Baseline,5.352941176470588,7.31235859591788
