second,phase,queue_top,queue_bottom,queue_left,queue_right,total_queue,arrivals_top,arrivals_bottom,arrivals_left,arrivals_right
0,vertical_green,0,0,1,1,2,0,1,1,1
1,vertical_green,0,0,1,3,4,0,0,0,2
2,vertical_green,0,0,1,3,4,0,0,0,0
3,vertical_green,0,0,1,5,6,0,0,0,2
4,vertical_green,0,0,2,5,7,0,0,1,0
5,vertical_green,0,0,2,6,8,0,0,0,1
6,vertical_green,0,0,2,7,9,0,0,0,1
7,vertical_green,0,0,4,8,12,0,0,2,1
8,vertical_green,0,0,4,9,13,1,0,0,1
9,vertical_green,0,0,4,10,14,0,0,0,1
10,vertical_green,0,0,4,11,15,0,0,0,1
11,vertical_green,0,0,5,12,17,0,0,1,1
12,vertical_green,0,0,5,13,18,0,0,0,1
13,vertical_green,0,0,6,14,20,0,0,1,1
14,vertical_green,0,0,6,15,21,0,0,0,1
15,vertical_green,0,0,7,15,22,0,0,1,0
16,vertical_green,0,0,7,17,24,0,0,0,2
17,vertical_green,0,0,7,17,24,0,0,0,0
18,vertical_green,0,0,8,19,27,0,0,1,2
19,vertical_green,0,0,8,20,28,0,0,0,1
20,vertical_green,0,0,9,21,30,0,0,1,1
21,vertical_green,0,0,10,22,32,0,0,1,1
22,vertical_green,0,0,10,24,34,0,0,0,2
23,vertical_green,0,0,12,24,36,0,0,2,0
24,vertical_green,0,0,12,25,37,0,0,0,1
25,vertical_green,0,0,12,26,38,0,0,0,1
26,vertical_green,0,0,12,27,39,0,0,0,1
27,vertical_green,0,0,13,28,41,0,1,1,1
28,vertical_green,0,0,13,29,42,0,0,0,1
29,vertical_green,0,0,13,29,42,0,0,0,0
30,vertical_yellow,0,1,13,31,45,0,1,0,2
31,vertical_yellow,0,1,13,32,46,0,0,0,1
32,vertical_yellow,0,1,13,33,47,0,0,0,1
33,all_red_1,0,1,14,33,48,0,0,1,0
34,horizontal_green,0,1,13,32,46,0,0,0,0
35,horizontal_green,0,1,12,34,47,0,0,0,3
36,horizontal_green,0,1,11,33,45,0,0,0,0
37,horizontal_green,0,1,10,33,44,0,0,0,1
38,horizontal_green,0,1,9,32,42,0,0,0,0
39,horizontal_green,0,1,8,31,40,0,0,0,0
40,horizontal_green,0,1,7,30,38,0,0,0,0
41,horizontal_green,0,1,6,30,37,0,0,0,1
42,horizontal_green,0,1,5,29,35,0,0,0,0
43,horizontal_green,0,1,4,28,33,0,0,0,0
44,horizontal_green,1,2,3,27,33,1,1,0,0
45,horizontal_green,3,4,2,26,35,2,2,0,0
46,horizontal_green,3,4,1,26,34,0,0,0,1
47,horizontal_green,6,6,0,25,37,3,2,0,0
48,horizontal_green,7,7,0,24,38,1,1,0,0
49,horizontal_green,7,8,0,23,38,0,1,0,0
50,horizontal_green,10,10,0,22,42,3,2,0,0
51,horizontal_green,11,10,0,21,42,1,0,0,0
52,horizontal_green,11,11,0,20,42,0,1,0,0
53,horizontal_green,15,12,0,19,46,4,1,0,0
54,horizontal_green,15,14,0,18,47,0,2,0,0
55,horizontal_green,19,14,0,17,50,4,0,0,0
56,horizontal_green,19,15,0,16,50,0,1,0,0
57,horizontal_green,19,16,0,16,51,0,1,0,1
58,horizontal_green,21,16,0,15,52,2,0,0,0
59,horizontal_green,23,17,0,14,54,2,1,0,0
60,horizontal_green,24,18,0,14,56,1,1,0,1
61,horizontal_green,26,19,0,13,58,2,1,0,0
62,horizontal_green,27,20,0,12,59,1,1,0,0
63,horizontal_green,29,22,0,11,62,2,2,0,0
64,horizontal_yellow,31,24,0,11,66,2,2,0,0
65,horizontal_yellow,34,24,0,11,69,3,0,0,0
66,horizontal_yellow,35,26,0,12,73,1,2,0,1
67,all_red_2,35,27,0,12,74,0,1,0,0
68,vertical_green,37,27,0,12,76,3,1,0,0
69,vertical_green,36,27,0,12,75,0,1,0,0
70,vertical_green,38,28,0,13,79,3,2,0,1
71,vertical_green,38,27,0,13,78,1,0,0,0
72,vertical_green,39,26,0,13,78,2,0,0,0
73,vertical_green,39,25,0,13,77,1,0,0,0
74,vertical_green,39,25,0,13,77,1,1,0,0
75,vertical_green,38,24,0,13,75,0,0,0,0
76,vertical_green,40,23,0,13,76,3,0,0,0
77,vertical_green,39,23,0,13,75,0,1,0,0
78,vertical_green,40,22,0,13,75,2,0,0,0
79,vertical_green,41,21,0,13,75,2,0,0,0
80,vertical_green,40,20,0,13,73,0,0,0,0
81,vertical_green,41,19,0,13,73,2,0,0,0
82,vertical_green,43,20,0,13,76,3,2,0,0
83,vertical_green,43,19,0,13,75,1,0,0,0
84,vertical_green,43,18,0,13,74,1,0,0,0
85,vertical_green,42,17,0,13,72,0,0,0,0
86,vertical_green,43,16,0,13,72,2,0,0,0
87,vertical_green,42,15,0,13,70,0,0,0,0
88,vertical_green,41,14,0,13,68,0,0,0,0
