second,phase,queue_top,queue_bottom,queue_left,queue_right,total_queue,arrivals_top,arrivals_bottom,arrivals_left,arrivals_right
0,horizontal_green,0,1,0,0,1,0,1,1,1
1,horizontal_green,0,1,0,1,2,0,0,0,2
2,horizontal_green,0,1,0,0,1,0,0,0,0
3,horizontal_green,0,1,0,1,2,0,0,0,2
4,horizontal_green,0,1,0,0,1,0,0,1,0
5,horizontal_green,0,1,0,0,1,0,0,0,1
6,horizontal_green,0,1,0,0,1,0,0,0,1
7,horizontal_green,0,1,1,0,2,0,0,2,1
8,horizontal_green,1,1,0,0,2,1,0,0,1
9,horizontal_green,1,1,0,0,2,0,0,0,1
10,horizontal_green,1,1,0,0,2,0,0,0,1
11,horizontal_green,1,1,0,0,2,0,0,1,1
12,horizontal_green,1,1,0,0,2,0,0,0,1
13,horizontal_green,1,1,0,0,2,0,0,1,1
14,horizontal_green,1,1,0,0,2,0,0,0,1
15,horizontal_green,1,1,0,0,2,0,0,1,0
16,horizontal_green,1,1,0,1,3,0,0,0,2
17,horizontal_green,1,1,0,0,2,0,0,0,0
18,horizontal_green,1,1,0,1,3,0,0,1,2
19,horizontal_green,1,1,0,1,3,0,0,0,1
20,horizontal_green,1,1,0,1,3,0,0,1,1
21,horizontal_green,1,1,0,1,3,0,0,1,1
22,horizontal_green,1,1,0,2,4,0,0,0,2
23,horizontal_green,1,1,1,1,4,0,0,2,0
24,horizontal_green,1,1,0,1,3,0,0,0,1
25,horizontal_green,1,1,0,1,3,0,0,0,1
26,horizontal_green,1,1,0,1,3,0,0,0,1
27,horizontal_green,1,2,0,1,4,0,1,1,1
28,horizontal_green,1,2,0,1,4,0,0,0,1
29,horizontal_green,1,2,0,0,3,0,0,0,0
30,horizontal_green,1,3,0,1,5,0,1,0,2
31,horizontal_green,1,3,0,1,5,0,0,0,1
32,horizontal_green,1,3,0,1,5,0,0,0,1
33,horizontal_green,1,3,0,0,4,0,0,1,0
34,horizontal_green,1,3,0,0,4,0,0,0,0
35,horizontal_green,1,3,0,2,6,0,0,0,3
36,horizontal_green,1,3,0,1,5,0,0,0,0
37,horizontal_green,1,3,0,1,5,0,0,0,1
38,horizontal_green,1,3,0,0,4,0,0,0,0
39,horizontal_green,1,3,0,0,4,0,0,0,0
40,horizontal_green,1,3,0,0,4,0,0,0,0
41,horizontal_green,1,3,0,0,4,0,0,0,1
42,horizontal_green,1,3,0,0,4,0,0,0,0
43,horizontal_green,1,3,0,0,4,0,0,0,0
44,horizontal_green,2,4,0,0,6,1,1,0,0
45,horizontal_green,4,6,0,0,10,2,2,0,0
46,horizontal_green,4,6,0,0,10,0,0,0,1
47,horizontal_green,7,8,0,0,15,3,2,0,0
48,horizontal_green,8,9,0,0,17,1,1,0,0
49,horizontal_green,8,10,0,0,18,0,1,0,0
50,horizontal_green,11,12,0,0,23,3,2,0,0
51,horizontal_green,12,12,0,0,24,1,0,0,0
52,horizontal_green,12,13,0,0,25,0,1,0,0
53,horizontal_green,16,14,0,0,30,4,1,0,0
54,horizontal_green,16,16,0,0,32,0,2,0,0
55,horizontal_green,20,16,0,0,36,4,0,0,0
56,horizontal_green,20,17,0,0,37,0,1,0,0
57,horizontal_yellow,20,18,0,1,39,0,1,0,1
58,horizontal_yellow,22,18,0,1,41,2,0,0,0
59,all_red_1,24,19,0,1,44,2,1,0,0
60,vertical_green,24,19,0,2,45,1,1,0,1
61,vertical_green,25,19,0,2,46,2,1,0,0
62,vertical_green,25,19,0,2,46,1,1,0,0
63,vertical_green,26,20,0,2,48,2,2,0,0
64,vertical_green,27,21,0,2,50,2,2,0,0
65,vertical_green,29,20,0,2,51,3,0,0,0
66,vertical_green,29,21,0,3,53,1,2,0,1
67,vertical_green,28,21,0,3,52,0,1,0,0
68,vertical_green,30,21,0,3,54,3,1,0,0
69,vertical_green,29,21,0,3,53,0,1,0,0
70,vertical_green,31,22,0,4,57,3,2,0,1
