generation,best_fitness,mean_fitness,best_total_waiting_time,best_max_total_queue,best_direction_imbalance,green_vertical,green_horizontal,yellow_time,all_red_time,phase_order_flag
0,51288.87027326928,116361.29763162923,51269,95,8.702732692786013,37,53,2,0,1
1,51288.87027326928,80496.40704026986,51269,95,8.702732692786013,37,53,2,0,1
2,51288.87027326928,64839.508037797015,51269,95,8.702732692786013,37,53,2,0,1
3,51288.87027326928,64173.63307325814,51269,95,8.702732692786013,37,53,2,0,1
4,51288.87027326928,57405.799121584234,51269,95,8.702732692786013,37,53,2,0,1
5,50301.888955074275,57478.0737991742,50281,100,8.889550742752851,39,57,2,0,1
6,50301.888955074275,56002.78792046751,50281,100,8.889550742752851,39,57,2,0,1
7,50301.888955074275,58111.5048462902,50281,100,8.889550742752851,39,57,2,0,1
8,50301.888955074275,55218.737960073224,50281,100,8.889550742752851,39,57,2,0,1
9,50301.888955074275,56961.343574192586,50281,100,8.889550742752851,39,57,2,0,1
10,50301.888955074275,56049.07164920245,50281,100,8.889550742752851,39,57,2,0,1
11,50301.888955074275,54678.92977345797,50281,100,8.889550742752851,39,57,2,0,1
12,50301.888955074275,57661.76448737362,50281,100,8.889550742752851,39,57,2,0,1
13,50301.888955074275,59235.173548533676,50281,100,8.889550742752851,39,57,2,0,1
14,50301.888955074275,57882.92571092639,50281,100,8.889550742752851,39,57,2,0,1
15,50301.888955074275,56079.48161760175,50281,100,8.889550742752851,39,57,2,0,1
16,50301.888955074275,55081.336296817135,50281,100,8.889550742752851,39,57,2,0,1
17,50301.888955074275,55791.05959842356,50281,100,8.889550742752851,39,57,2,0,1
18,50301.888955074275,56002.57228305509,50281,100,8.889550742752851,39,57,2,0,1
19,50301.888955074275,56083.331717186746,50281,100,8.889550742752851,39,57,2,0,1
20,50301.888955074275,58139.030173621,50281,100,8.889550742752851,39,57,2,0,1
21,50301.888955074275,59087.44298557596,50281,100,8.889550742752851,39,57,2,0,1
22,50301.888955074275,57246.47131349966,50281,100,8.889550742752851,39,57,2,0,1
23,50301.888955074275,56028.73219210812,50281,100,8.889550742752851,39,57,2,0,1
24,50301.888955074275,56981.69788012914,50281,100,8.889550742752851,39,57,2,0,1
25,50301.888955074275,54693.070197755835,50281,100,8.889550742752851,39,57,2,0,1
26,50301.888955074275,54955.96590994708,50281,100,8.889550742752851,39,57,2,0,1
27,50301.888955074275,54683.925343332965,50281,100,8.889550742752851,39,57,2,0,1
28,50301.888955074275,55408.93525606084,50281,100,8.889550742752851,39,57,2,0,1
29,50301.888955074275,56878.41269302566,50281,100,8.889550742752851,39,57,2,0,1
30,50301.888955074275,56685.29197288238,50281,100,8.889550742752851,39,57,2,0,1
31,50301.888955074275,54265.95456575944,50281,100,8.889550742752851,39,57,2,0,1
32,50301.888955074275,58126.419243395074,50281,100,8.889550742752851,39,57,2,0,1
33,50301.888955074275,56133.92666082557,50281,100,8.889550742752851,39,57,2,0,1
34,50301.888955074275,56535.764030950246,50281,100,8.889550742752851,39,57,2,0,1
35,50301.888955074275,55299.591719678414,50281,100,8.889550742752851,39,57,2,0,1
36,50301.888955074275,55195.761224072565,50281,100,8.889550742752851,39,57,2,0,1
37,50301.888955074275,57210.989675784345,50281,100,8.889550742752851,39,57,2,0,1
38,50301.888955074275,57048.21299928731,50281,100,8.889550742752851,39,57,2,0,1
39,50301.888955074275,55900.370001811556,50281,100,8.889550742752851,39,57,2,0,1
40,50301.888955074275,57130.85390558517,50281,100,8.889550742752851,39,57,2,0,1
41,50301.888955074275,55776.0815331277,50281,100,8.889550742752851,39,57,2,0,1
42,50301.888955074275,55756.67398741331,50281,100,8.889550742752851,39,57,2,0,1
43,50301.888955074275,57224.75696990868,50281,100,8.889550742752851,39,57,2,0,1
44,50301.888955074275,54906.36903874618,50281,100,8.889550742752851,39,57,2,0,1
45,50301.888955074275,57409.74350962359,50281,100,8.889550742752851,39,57,2,0,1
46,50301.888955074275,54871.60257084209,50281,100,8.889550742752851,39,57,2,0,1
47,50301.888955074275,56336.93566653038,50281,100,8.889550742752851,39,57,2,0,1
48,50301.888955074275,58330.237643686865,50281,100,8.889550742752851,39,57,2,0,1
49,50301.888955074275,56252.25330726917,50281,100,8.889550742752851,39,57,2,0,1
